id;code;date_recette;montant;type_recette;anonyme;membre_nom;motif;reference_piece;statut;entite_financiere_id;caisse_id;categorie_id
1;bang à côté de;2026-02-25;24482.61;tâter jusqu’à ce que en plus de;false;planter;oh direction;concurrence énergique tic-tac;éclairer d'abord;1;1;1
2;lorsque;2026-02-25;26012.89;dériver tandis que bof;true;du fait que déterminer;planquer;quelquefois pschitt;plaider;2;2;2
3;raisonner;2026-02-25;4572.32;cocorico population du Québec sale;true;éclairer;doucement;blême antagoniste;main-d’œuvre;3;3;3
4;au cas où;2026-02-25;31795.94;coac coac aïe siffler;true;croâ après-demain;vétuste;parlementaire;tard bof;4;4;4
5;ha ha;2026-02-26;28297.27;aigre incalculable;false;smack;à la merci tant;jadis;que pendant;5;5;5
6;résoudre de manière à ce que communiquer;2026-02-25;20672.3;recta de peur que;true;jeune enfant police;splendide;membre titulaire croâ;immense ding là-haut;6;6;6
7;oh lorsque puis;2026-02-25;6545.89;moderne derechef pallier;false;goûter;à peine;circulaire vider pin-pon;atchoum quoique;7;7;7
8;alors assez subito;2026-02-25;27562.31;dispenser quasiment euh;true;fonctionnaire population du Québec pardonner;équipe contre;déclarer;sédentaire;8;8;8
9;a afin que du moment que;2026-02-25;25393.11;patientèle trancher;true;hors;en outre de a;gai;toujours;9;9;9
10;tard tard étonner;2026-02-25;17784.92;dévoiler hebdomadaire;false;quasi bien que lâche;partout tant;toutefois oh;pendant que auparavant;10;10;10
