id;code;date_transfert;montant;motif;type_transfert;statut;valider_par;date_validation;entite_financiere_source_id;caisse_source_id;caisse_destination_id
1;si clac;2026-02-26;32764.25;près serviable sonner;pin-pon souple;atchoum aux alentours de;de manière à afin de en dépit de;2026-02-26T03:52:53;1;1;1
2;rectangulaire à l'entour de;2026-02-26;26922.96;toc camarade;renaître;en dépit de probablement fonctionnaire;admirer areu areu jusque;2026-02-25T18:27:55;2;2;2
3;bon à travers;2026-02-26;12875.27;même;membre titulaire du côté de;échouer;mature tailler;2026-02-26T05:47:03;3;3;3
4;après adversaire;2026-02-26;21651.68;gens commissionnaire foule;guère;antique;trop peu de manière à;2026-02-25T13:49:09;4;4;4
5;rectorat subito;2026-02-26;2854.58;porte-parole efficace;administration hi équipe de recherche;vorace équiper;tandis que du fait que;2026-02-26T05:16:38;5;5;5
6;à l'insu de svelte;2026-02-25;31455.39;chut aux environs de;actionnaire;présidence;police tsoin-tsoin;2026-02-26T08:43:31;6;6;6
7;lorsque;2026-02-25;9490.2;tant sincère;subsister traîner de manière à ce que;au-dessus;suivant;2026-02-25T16:37:23;7;7;7
8;puisque;2026-02-26;12201.15;aïe durant responsable;tant que;avant que;vers affronter;2026-02-25T13:13:59;8;8;8
9;charitable parmi;2026-02-26;17657.66;autrement au-devant;marron ouah;au prix de personnel;naguère vlan;2026-02-25T22:04:20;9;9;9
10;ouah;2026-02-25;12483.72;en bas de moyennant;éloigner;antique;vaste responsable;2026-02-25T14:31:42;10;10;10
